cited_person_clean,wikidata_id,wikidata_label,cited_gender
Daniel Goulet,Q3014108,Daniel Goulet,male
Henri Lucas,Q18744848,Henri Lucas,male
Emile Muller,Q15972542,Emile Muller,male
Alain Mayoud,Q2830094,Alain Mayoud,male
Jean Poperen,Q3174079,Jean Poperen,male
Philippe Malaud,Q3380290,Philippe Malaud,male
André Fanton,Q2847739,André Fanton,male
Gisèle Moreau,Q3107823,,female
Jacques Marette,Q3159489,Jacques Marette,male
Georges Sarre,Q3103479,Georges Sarre,male
Roger Gouhier,Q3439036,Roger Gouhier,male
Alain Griotteray,Q2829881,Alain Griotteray,male
Roland Nungesser,Q931320,Roland Nungesser,male
Michel Giraud,Q919918,Michel Giraud,male
Haroun Tazieff,Q363379,Haroun Tazieff,male
Bernard Lefranc,Q2898214,Bernard Lefranc,male
Klaus Croissant,Q74367,Klaus Croissant,male
Michel Roux,Q2918056,Michel Roux,male
Guy Lengagne,Q3121953,Guy Lengagne,male
Georges Chometon,Q3102479,Georges Chometon,male
Gérard Voisin,Q3124371,Gérard Voisin,male
Alain Rodet,Q2830248,Alain Rodet,male
Jacques Vernier,Q3160161,Jacques Vernier,male
Edmond Garcin,Q3047833,Edmond Garcin,male
François D'Harcourt,Q16855763,François d'Harcourt,male
Guy Beck,Q3121540,Guy Beck,male
Martial Taugourdeau,Q3295275,Martial Taugourdeau,male
Raoul Bayou,Q3419126,Raoul Bayou,male
Jean Royer,Q3174472,Jean Royer,male
Alexandre Bolo,Q8317977,Alexandre Bolo,male
Claude Coulais,Q2392695,Claude Coulais,male
André Laurent,Q2848101,André Laurent,male
Jacques Legendre,Q3159355,Jacques Legendre,male
Hubert Bassot,Q3141928,Hubert Bassot,male
Marcel Wacheux,Q3289479,Marcel Wacheux,male
André Tourné,Q2848711,André Tourné,male
Jean-Marie Caro,Q3167596,Jean-Marie Caro,male
Etienne Bannwarth,,,unknown
Jean Brocard,Q2979307,Jean Brocard,male
Claude Roux,Q2978101,Claude Roux,male
Pierre Bourguignon,Q18523955,Pierre Bourguignon,male
Charles Revet,Q2960112,Charles Revet,male
Ladislas Poniatowski,Q3215951,Ladislas Poniatowski,male
Claude Labbé,Q2977627,Claude Labbé,male
Robert Ballanger,Q3434496,Robert Ballanger,male
Joseph Franceschi,Q3184959,Joseph Franceschi,male
Régis Barailla,Q3455690,Régis Barailla,male
Luc Tinseau,Q16798570,Luc Tinseau,male
Adrienne Horvath,Q168106,Adrienne Horvath,female
François Delmas,Q3084411,François Delmas,male
Jean Auroux,Q3170464,Jean Auroux,male
Dominique Pervenche,Q8318435,Dominique Pervenche,male
Germain Gengenwin,Q3104115,Germain Gengenwin,male
Yvette Roudy,Q3574055,Yvette Roudy,female
Gérard Lindeperg,Q3124120,Gérard Lindeperg,male
François Léotard,Q1394083,François Léotard,male
Louis Colombani,Q8341063,Louis Colombani,male
René Monory,Q697358,René Monory,male
Edith Cresson,Q230861,Édith Cresson,female
Jean-Paul Charié,Q3168412,Jean-Paul Charié,male
Philippe Bassinet,Q3379309,Philippe Bassinet,male
Guy Teissier,Q3090,Guy Teissier,male
Joseph Klifa,Q3185170,Joseph Klifa,male
Roger Mas,Q3439260,Roger Mas,male
André Gravelle,Q2847883,André Gravelle,male
Pierre Micaux,Q3386268,Pierre Micaux,male
Charles Josselin,Q2959501,Charles Josselin,male
Patrick Hoguet,Q3369520,Patrick Hoguet,male
Philippe Lamirault,,,unknown
Jean Poudevigne,Q3174088,Jean Poudevigne,male
Jean Valleix,Q3174934,Jean Valleix,male
Dent De La République,,,unknown
Pierre Méhaignerie,Q895873,Pierre Méhaignerie,male
André Laignel,Q957415,André Laignel,male
Jean Proveux,Q3174130,Jean Proveux,male
President De La,,,unknown
Théo Vial-Massat,Q3526335,Théo Vial-Massat,male
Michel Moreau,Q321972,Jean-Michel Moreau,male
Maurice Faure,Q3300775,Maurice Faure,male
Eric Vion,,,unknown
Charles Paccou,Q2959941,Charles Paccou,male
Dominique Dupilet,Q3035125,Dominique Dupilet,male
President De La Republique,,,unknown
Roland Huguet,Q3440102,Roland Huguet,male
Jean-Pierre Kucheida,Q3169447,Jean-Pierre Kucheida,male
Paul Alduy,Q3370440,Paul Alduy,male
Pierre Weisenhorn,Q3387347,Pierre Weisenhorn,male
Pierre Mendes-France,Q314265,Pierre Mendès France,male
Pierre Joxe,Q977974,Pierre Joxe,male
Paul Perrier,Q3371985,Paul Perrier,male
Alain Peyrefitte,Q929334,Alain Peyrefitte,male
Jean Goubet,,,unknown
Raoul Cartraud,Q3419142,Raoul Cartraud,male
Hélène Constans,Q2412867,Ellen Constans,female
Fernand Saal,,,unknown
Henri Ravera,Q21294800,Henri Ravera,male
