cited_person_clean,wikidata_id,wikidata_label,cited_gender
Franck Thomas-Richard,Q3082294,Franck Thomas-Richard,male
Lucien Renaudie,Q3265689,Lucien Renaudie,male
Rene Boisserie,,,unknown
Pierre Le Gouez,,,unknown
Bernard Prigent,Q134547397,Bernard Prigent,male
Francois Prigent,Q115755162,François Prigent,male
Jean-Claude Vitel,Q65606097,Jean-Claude Vitel,male
Frederic De Saint-Sernin,Q3090320,Frédéric de Saint-Sernin,male
Jean-Noel Laleu,,,unknown
Michel Eme,Q952902,Michel Emer,male
Monique Rousseau,Q3320921,Monique Rousseau,female
Rene Gouverne,,,unknown
Daniel Jeannin,Q65586223,Daniel Jeannin,male
Pierre Pracht,,,unknown
Jean Geney,Q3172266,Jean Geney,male
Jean- Pierre Chevenement,,,unknown
Liliane Ferquin,,,unknown
Pascal Dionis,,,unknown
Pierre Chautar,,,unknown
Christian Duval,Q2965232,Christian Duvaleix,male
Joel Billard,Q3187362,Joël Billard,male
Pierre Deligniere,,,unknown
Philippe Goude,Q59052575,Philippe Goudeau,male
Vincent Vigouroux,,,unknown
Jean Lomenech,Q63106161,Jean Lomenech,male
Roger Franzoni,Q3438980,Roger Franzoni,male
Jean-Luc Chapon,Q58174906,Jean-Luc Chapon,male
Claude Vian,Q61043313,Claude Vian,male
Francoise Laurent-Perrigot,Q509530,Françoise Laurent-Perrigot,female
Michel Baselga,,,unknown
Yvette Benayoun-Nakache,Q3574036,Yvette Benayoun-Nakache,female
Guy Chotin,,,unknown
Claude Desbons,Q2977278,Claude Desbons,male
Yves Rispat,Q3573932,Yves Rispat,male
Jean-Pierre Guyomarc'H,Q84592528,Jean-Pierre Guyomarc'h,male
Michel Lescoutra,,,unknown
Bernard Castagnet,Q61958572,Bernard Castagnet,male
G. Freche,,,unknown
Jean-Louis Lamarque,Q88958791,Jean-Louis Lamarque,male
Christian Schembre,,,unknown
Isabelle Garric,,,unknown
Philippe Nogrix,Q3380452,Philippe Nogrix,male
Yannick Le Brelot,,,unknown
Jean-Marie Sciences,,,unknown
Andre Laignel Jean-Claude Blin,,,unknown
Jean-Paul Thibault,Q122945572,Jean-Paul Thibault,male
Michele Beuzelin,Q3311571,Michèle Beuzelin,female
Gerald Dulac,,,unknown
Roland Carminati,,,unknown
Francoise Adele Socie,,,unknown
Alain Vidalies,Q1393874,Alain Vidalies,male
Jean-Pierre Dufau,Q3169237,Jean-Pierre Dufau,male
Henri Cochelin,,,unknown
Janine Garnier,,,unknown
Pierre Bailly,Q3944765,Pierre Bailly,male
Marc Faure,,,unknown
Aymar De Seroux,,,unknown
Albert Prost,,,unknown
Alain Pomes,,,unknown
Michel Leger,Q17489715,Michel Légère,male
Jean-Luc Harousseau,Q3167165,Jean-Luc Harousseau,male
Xavier De Laubier,,,unknown
Bernard Garnier,Q455786,Bernard Garnier,male
Claude Bourdin,Q2977059,Claude Bourdin,male
Janine Rozier,Q691267,Janine Rozier,female
Nicole Bouilly,,,unknown
Philippe Clement,Q1338480,Philippe Clement,male
Roland Hureaux,Q3440104,Roland Hureaux,male
Jean-Pierre Cortvriendt,,,unknown
Eddy Marsan,,,unknown
Michel Bordignon,,,unknown
Robert Surjous,,,unknown
Guy Lecroq,,,unknown
Regis Mulliez,,,unknown
Jean-Pierre Bougnoux,,,unknown
Michel Levilly,,,unknown
Michel Davy,Q3311212,Michel de Virville,male
Michel Voisin Dit Lacroix,,,unknown
Claude Durand,Q1249963,Claude Durand,male
Jacques Baudot,Q3158204,Jacques Baudot,male
Gerard Chol,Q3123841,Gérard Cholvy,male
Lyne Rousseau,,,unknown
Francois Hervieux,Q130214758,François Hervieux,unknown
Franck Hillion,,,unknown
Bernard Campani,,,unknown
J.C. Mahler,,,unknown
Fabrice Bernard,Q79769778,Fabrice Bernard,male
Alain Marty,Q58171870,Alain Marty,male
Hubert Roth,Q65601056,Hubert Roth,male
Pierre Lang Suppleante Carmen Diligent,,,unknown
Philippe Leick,Q133011206,,male
Paul Balandras,,,unknown
Arthur Matecki,,,unknown
Michel Defloraine,,,unknown
Jean-Pierre Mignard,Q3169572,Jean-Pierre Mignard,male
Didier Beguin,Q3026946,Didier Béguin,male
Jacques Richir,Q3159873,Jacques Richir,male
Paul Besson,Q100495444,Paul Besson,male
Yves Quilliot,,,unknown
Marie- Christine Blandin,,,unknown
Roger Dutriez,,,unknown
Bernard Davoine,Q2897742,Bernard Davoine,male
Marcel Deraedt Colette Nouwynck-Dujardin,,,unknown
Josette Sagot,,,unknown
Jean-Luc Detavernier,Q63763153,Jean-Luc Detavernier,male
Jean-Pierre Delannoy,Q23932069,Jean-Pierre Delannoy,male
Christian Vanneste,Q385595,Christian Vanneste,male
Thierry Delplanque,,,unknown
Olivier Varlet,Q108741208,Olivier Varlet,male
Marie-Fanny Gournay,Q3291766,Marie-Fanny Gournay,female
Pierre-Alain Douay,Q33104782,Pierre-Alain Douay,male
Liliane Durieux,,,unknown
Georges Laine,Q31941708,Georges Laîné,male
Serge Machepy,,,unknown
Pierre Herbet,Q65585188,Pierre Herbet,male
Daniel Mortelecq,,,unknown
Jacques Pinsson,Q65596432,Jacques Pinsson,male
Michel Guiniot,Q63106668,Michel Guiniot,male
Olivier Deuil,,,unknown
Jean-Claude Pascual,Q135428164,Jean-Claude Pascual,male
Marie-France Le Bozec,,,unknown
Jean Weppe,,,unknown
Maurice Louf,Q60460538,Maurice Louf,male
Bernard Carpentier,,,unknown
Jacques Kmieciak,,,unknown
Jean-Luc Cattoire,,,unknown
Jeanne Audollent,,,unknown
Georges Faure,Q113808757,Georges Faure,male
Lucien Basse-Cathalinat,,,unknown
Jean-Pierre Leris,,,unknown
Roland Monells,Q130250427,Roland Monells,male
Jacques Majester,,,unknown
Robert Dorschner,Q59147568,Robert A Dorschner,male
Fernand Meyer,Q2532952,Fernand Meyer,male
Georges-Pierre Noth,,,unknown
Antoine Klein,Q50777135,Antoine Klein,male
Pierre Bertrand,Q113322832,Pierre Bertrand,male
Christine Barthet,,,unknown
Walter Anstett,,,unknown
Michel Thevenot,,,unknown
Denis Guyon,Q124369271,Denis Guyon,male
D Emocrates,,,unknown
Jean Plasse,,,unknown
Marie-Chantal Desbazeille,,,unknown
Jean-Noel Jeanneney,Q714993,Jean-Noël Jeanneney,male
Odile Vigneron,,,unknown
Robert Rolland,Q102361066,Robert Rolland,male
Philippe Bouthier,,,unknown
Philippe Perrin,Q1266359,Philippe Perrin,male
Delphine Brox-Brochot,Q1184666,Delphine Brox,female
Alain Muller,Q133735110,,male
Pierre Hellier,Q3385439,Pierre Hellier,male
Pierre Houdayer,Q65585458,Pierre Houdayer,male
Daniel Macheton,,,unknown
Claude Tessier,Q111820723,Claude Tessier,male
Gratien Ferrari Dominique Dord,,,unknown
Jean-Pierre Vial,Q743188,Jean-Pierre Vial,male
Le General Lacaze,,,unknown
Herve Gaymard,Q182786,Hervé Gaymard,male
Daniel Dufreney,,,unknown
Camille Beauquier,,,unknown
Michel Landrivon,,,unknown
Dominique Martin,Q57001615,Dominique Martin,unknown
Antoine Beauquier,Q96945606,Antoine Beauquier,male
Anne Cuille,Q48235411,Anne Cuillé,female
Stephane Bugat,Q104507018,Stéphane Bugat,male
Francois Donzel,,,unknown
Claude Boucher,Q2977054,Claude Boucher,male
Patrick Herr,Q3369515,Patrick Herr,male
Nicole Rimasson,,,unknown
Claude Dudouit,,,unknown
Agathe Cahierre,,,unknown
Alfred Trassy-Paillogues,Q2835495,Alfred Trassy-Paillogues,male
Jeannine Jouanin,,,unknown
Jacques Jaggi,,,unknown
Jacques Myard,Q3159627,Jacques Myard,male
Jean-Louis D'Andre,,,unknown
Francois Neveu,Q108006222,François Neveu,male
Jean-Michel Fourgous,Q3168024,Jean-Michel Fourgous,male
Monsieur De Robien,,,unknown
Jacky Mouillard,,,unknown
Christian Vlaeminck,Q65606176,Christian Vlaeminck,male
Regis Lecuyer,,,unknown
Alain Gest,Q2829853,Alain Gest,male
Adrien De Santi,,,unknown
Jean-Claude Lunardelli,,,unknown
Michel Casanova,Q87347874,Michel Casanova,unknown
Philippe De Canson,Q3380957,Philippe de Canson,male
Bernard Deve,Q2897791,Bernard Devert,male
Jean-Claude Remaud,,,unknown
Denis Brunet,Q117231394,Denis Brunet,unknown
Georges Stupar,,,unknown
Patrice Millet,Q112418410,Patrice Millet,male
Jean Grimaud,Q3172394,Jean Grimaud,male
Catherine Barril,,,unknown
Jean-Claude Guillaumie,,,unknown
Alain Marsaud,Q2830086,Alain Marsaud,male
Raymond Archer,Q63765048,Raymond Archer,male
Francois Vannson,Q3085979,François Vannson,male
Henri Gunslay,,,unknown
Claude Jacquel,Q269422,Claude Pompidou,female
Jacques Cable,Q33111962,Jacques Cablé,male
J .- P. Rousseau,,,unknown
Philippe Gerard,Q1930858,Philippe-Gérard,male
Louis Teknayan,,,unknown
M'Barek Fraoui,,,unknown
Marc Gentilini,Q3288060,Marc Gentilini,male
Claudine Laurent,Q91189703,Claudine Laurent-Levinson,unknown
Odile Moirin Le Courage,,,unknown
Gerard Funes,,,unknown
Marc-Antoine Calonne,,,unknown
Kheira Benbadra,,,unknown
Antoine Charrin,,,unknown
Dominique Frager,,,unknown
Caroline Roy,Q76210302,Caroline Felicity Royds,female
Guy Konopnicki,Q3121889,Guy Konopnicki,male
Helene Corouge,,,unknown
Pierre Bonelli,Q3384064,Pierre Bonelli,male
Hari Krishnan,Q87693293,Hari B Krishnan,unknown
Marie-Jose Bertinelli,,,unknown
Fodhil Hamoudi,,,unknown
Jean-Yves Caradec,,,unknown
Andre Veyssiere,Q2848774,André Veyssière,male
Catherine Puig,Q65597298,Catherine Puig,female
J .- F. Meyer,,,unknown
D. Carleschi,,,unknown
Philippe Dallier,Q283553,Philippe Dallier,male
Louis-Marie Pelaez,,,unknown
Marie-Josephe Descarpentries,,,unknown
Martine Valleton,Q62078119,Martine Valleton,female
Gilbert Perea,Q141078,Gilbert Perreault,male
Roland Patrzynski,,,unknown
Antoine Pouillieute,Q2856638,Antoine Pouillieute,male
Jacques Verrier,Q3160162,Jacques Verrières,male
Marie-Therese Philippe,,,unknown
Anne-Marie Anglade,,,unknown
Jocelyn Joli,Q2238185,Jocelyn Jolidon,male
Louis Perrier,Q118209,Louis Perrier,male
Nelly Olin,Q272848,Nelly Olin,female
Roland Mon Net,,,unknown
Roland Monnet,,,unknown
President De La Republique Marcel Anthonioz,,,unknown
Michel Carrier,Q19606977,Michel Carrier,male
Robert Meriaudeau,Q129201257,Robert Mériaudeau,male
Robert Guillot - Vignot,,,unknown
Camille Piane,,,unknown
William Philippot,,,unknown
Robert Dagnicourt,,,unknown
Gerard Parizano,,,unknown
Edmond Bricout,Q3047765,Edmond Bricout,male
Jacqueline Labrosse,,,unknown
Paul Hauriez,,,unknown
Rene Lecomte,Q18429218,René Lecomte,male
E. Faure,Q59147875,Élise Faure-Boucharlat,female
Jacques Vivier,Q3160187,Jacques Vivier,male
Jean Desgranges,Q3171712,Jean Desgranges,male
Andre Godard,Q518977,André Godard,male
Henri Guichon,Q23678533,Henri Guichon,male
Joseph Katz,Q3185155,Joseph Katz,male
Jacques Dupuydauby,,,unknown
Axel Guillaumin,,,unknown
Pierre Coulon,Q3384546,Pierre Coulon,male
Jean Chabrol,Q3171186,Jean Chabrol,male
Henri Savornin,,,unknown
Charles Rolland,Q2960144,Charles Rolland,male
Jean Curetti,,,unknown
Jacques Verne,Q72422083,Jacques Verne,male
Jean-Michel Hurth,,,unknown
Jean Michel Hurth,,,unknown
Marthe Garnier,,,unknown
Paul Ricolfi,,,unknown
Paulette Nicoli,,,unknown
Monsieur Barel,,,unknown
Jeannine Labica,,,unknown
Andre Flecheux,,,unknown
Docteur Henri Roubault,,,unknown
Andre Renet,,,unknown
Me Hancy,,,unknown
. Palmero,,,unknown
Edmond Renaud,Q51235910,Edmond Renaudin,male
Victor Nicolai,Q3557339,Victor Gortchakov,male
Marcel Montagne,,,unknown
Alain Martelly,,,unknown
Robert Jobin,,,unknown
Albert Macarry,,,unknown
Romain Maurel,,,unknown
Roger Belleudy,,,unknown
Sauvaigo P Ierre,,,unknown
Jean Medecin,Q3173654,Jean Médecin,male
Jean-Paul Calvy,,,unknown
De Fontmichel,,,unknown
Fernand Dessus,,,unknown
Regis Fayard,,,unknown
Paul Ribeyre,Q3372096,Paul Ribeyre,male
Roger Champetier,,,unknown
General Stehlin,,,unknown
Omer Provendier,,,unknown
Pierre Siegel,,,unknown
Michel Barbier,Q50625562,Michel Barbier,male
Leant Roger Gremont,,,unknown
Jacques Demoulin,Q111700345,Jacques Démoulin,male
Marie-Helene Cardot,Q3291866,Marie-Hélène Cardot,female
Guy Desson,Q3121735,Guy Desson,male
Pierre Salette,Q3386918,Pierre Salettes,male
Pierre Penent-D'Izarn,Q133388796,,unknown
Jean Rivet,Q3174357,Jean Rivet,male
Jacques Palencher,,,unknown
Raymond Courriere,Q3420773,Raymond Courrière,male
President Edgar Faure,,,unknown
Olivier Giscard D'Estaing,Q3351066,Olivier Giscard d'Estaing,male
Henri Perie,Q139089251,,unknown
Michel Lafon,Q18565533,Michel Lafon,male
Pierre Dumoulin,Q3384862,Pierre Dumoulin,male
Jacques Rastoin,Q116086,Jacques Rastoin,male
Jean-Louis Vidal,Q121811157,Jean-Louis Vidal,male
Fernand Gadet,,,unknown
Pierre Gomez,Q112475541,Pierre Gomez,male
Robert Vigouroux,Q115615,Robert-Paul Vigouroux,male
Guy Daniel,Q3121464,Guy-Daniel Tremblay,male
Jean-Marc Gazagnaire,,,unknown
Gabriel Beaumet,,,unknown
Robert Gardeil Depute Sortant,,,unknown
Alain Michel,Q770890,Alain Michel,male
Charles Montaldi,,,unknown
Louis Noell,,,unknown
Marc David,Q58292818,Marc David,male
Donat Tafani,,,unknown
Fils De Traminot,,,unknown
Paul Cermolacce Marin,,,unknown
Roger Donadio Ajusteur,,,unknown
Paul Cermolacce,Q8314525,Paul Cermolacce,male
Robert Vincent,Q3436493,Robert Vincent,male
Michel Pezet Michel Pezet,,,unknown
De Lattre De Tassigny,Q81114,Jean de Lattre de Tassigny,male
Adrien Roux,Q57049555,Adrien Roux,male
Antoine Toran,,,unknown
Henri Juramy,Q131935599,,male
Antoine Gonfond,,,unknown
Charles Privat,Q16798537,Charles Privat,male
Alain Decamps,Q99585615,Alain Decamps,male
. Privat,,,unknown
Docteur Verain,,,unknown
Francois Demaison,,,unknown
Guy Barat,Q102351503,Guy Barat,male
Andre Lenormand,Q2848158,André Lenormand,male
Gaston Gosset,,,unknown
Raymond Gehard,,,unknown
Michel Leymarie Michel Leymarie,,,unknown
Jean Nolorgues Marcelle Bertault,,,unknown
Maurice Joly,Q1349289,Maurice Joly,male
Michel Leymarie,Q3310189,Michel Leymarie,male
Raymond Rethore,Q3421131,Raymond Réthoré,male
R. Vergnaud,,,unknown
Gerard Pince,Q21707193,Gérard Pince,male
Claude Jarry,Q133685972,,unknown
Leca- Nuet,,,unknown
Monsieur Sabourin,,,unknown
Andre Salardaine,Q2848602,André Salardaine,male
Roland Le Bigot,,,unknown
Jean Petraud,,,unknown
Maurice Remontet,,,unknown
R. Sistane,,,unknown
Monsieur Brugerolle,,,unknown
Michel Boucher,Q65568732,Michel Boucher,male
Henri Chailloleau,,,unknown
Pierre-Gerard Dupuy,,,unknown
Docteur Noel,,,unknown
Marcel Garnier,Q99292805,Marcel Garnier,male
Andre Guichaoua,Q55625347,André Guichaoua,male
De Lipkowski,,,unknown
Pierre Duteau,Q130620266,Pierre Duteau,unknown
Gilbert Camuzat,,,unknown
Andre Guillerault,,,unknown
Pierre Karmann,,,unknown
Jacques Chaban- Delmas,,,unknown
President Alain Poher,,,unknown
Louis Chastang,,,unknown
Georges Claux,,,unknown
Jean-Louis Langlais,Q69856340,Jean-Louis Langlais,male
Albert Ouzoulias,Q2831447,Albert Ouzoulias,male
Jean Bozzi,Q3170974,Jean Bozzi,male
Pierre Giudicelli,Q3385244,Pierre Giudicelli,male
Maurice Fourrier,Q106683863,Maurice Fourrier,male
Raymond Mesguis,,,unknown
Pierre Palau,Q3386500,Pierre Palau,male
Daniel Cabuzel,,,unknown
Pierre Rebourg,,,unknown
Arsene Le Bacquer,,,unknown
Ernest David,Q60532622,Ernest David,male
. Antoine Pinay,,,unknown
William Chervy,Q3568500,William Chervy,male
Yves Marois,,,unknown
Gerard Jaquet,Q3124046,Gérard Jaquet,male
Raoul Jarry,Q3419205,Raoul Jarry,male
Jacques Weinman,Q3160195,Jacques Weinman,male
Georges Bolard Supp,,,unknown
Marcel Domon,Q19629426,Marcel Domon,male
Gaston Hennequin,,,unknown
Gabriel Coullaud Gabriel Coullaud,,,unknown
Marceau Bres,,,unknown
Gilbert Sauvan,Q1674061,Gilbert Sauvan,male
President De La Republique Jean Escoffier,,,unknown
Georges Schiffmacher,,,unknown
Jean De Broglie Pierre Monfrais,,,unknown
Jean-Jacques Ser- Van-Schreiber,,,unknown
Docteur Vincentelli,,,unknown
De Milleville,,,unknown
Roger Cueiuille,,,unknown
Francois Couraye Du Parc,,,unknown
Christophe Wargny,Q111535117,Christophe Wargny,male
Daniel Mousset,,,unknown
M. Montagne,Q58240882,Matteo Montagnese,unknown
Jean Goujout,,,unknown
Andre Goudeau,,,unknown
Pierre Surgeon,,,unknown
Valery Gis- Card D'Estaing,,,unknown
Emile Vivier,Q2372650,Émile Vivier,male
Edmond Thorailler,Q16798569,Edmond Thorailler,male
M. Seguy,,,unknown
Robert De Guerry De Tremont,,,unknown
Lucien Septseault,,,unknown
Maurice Perche,Q16798533,Maurice Perche,male
Patrick Hoguets,,,unknown
Monsieur Le President,,,unknown
Jean Le Calvez,Q106703501,Jean Le Calvez,unknown
J. Le Bail,,,unknown
Eugene Berest,Q3059723,Eugène Bérest,male
Marie-Jacqueline Desouches,Q16265180,Marie-Jacqueline Desouches,female
Abbe Pierre Cadalen,,,unknown
Jean-Luc Lesguer,,,unknown
Abbe Cadalen,,,unknown
Roger Prat,Q16027184,Roger Prat,male
Pierre Lelong,Q466301,Pierre Lelong,male
Yves Michel,Q16798520,Yves Michel,male
Roger Le Gall,Q21212421,Roger Le Gall,male
Louis Hemery,,,unknown
Maurice Gadal,,,unknown
Herve Mao,Q16798508,Hervé Mao,male
Louis Orvoen,Q3262827,Louis Orvoën,male
Chris- Tian Avenard,,,unknown
Jean Chabanis,Q118289854,Jean Chabanis,male
Georges Debats,Q126897967,Georges Debats,male
Jean Noguier Suppleant,,,unknown
Pierre Calvet,Q123368401,Pierre Calvet,male
Rene Piquet,Q3426749,René Piquet,male
Raymond Blanc,Q2918264,Raymond Blanc,male
M. Baudis,,,unknown
Jacques Moron,Q17350801,Jacques Moron,male
Jean-Rene Gay,,,unknown
Micheline Guilhaumon,,,unknown
Madame Thadee Diffre,,,unknown
Thadee Diffre,Q16130906,Thadée Diffre,male
Jean Lassere,Q17350722,Jean Lassère,male
Hugues-Vincent Barbe,,,unknown
Marcel Bonpunt,,,unknown
Hippolyte Ducos,Q3136053,Hippolyte Ducos,male
Marcel Marchadier,,,unknown
Jean Capin,Q133628260,,unknown
Pierre De Montesquiou,Q3387638,Pierre de Montesquiou,male
Paul Lagourgue,,,unknown
. Chaban-Delmas,,,unknown
Pattarone Adrien Junca,,,unknown
Pierre Barrail,Q59364842,Pierre Barraillier,male
Jacques Valade,Q3160121,Jacques Valade,male
Dr Grondeau,,,unknown
. Seguy,,,unknown
Jean-Pierre Pomade,,,unknown
Jean Benaben,,,unknown
Rene Lahitte,,,unknown
Jean-Claude Dalbos,Q19629558,Jean-Claude Dalbos,male
Roland Cazenave,,,unknown
Victor Mazars,,,unknown
Odin Rossignol,,,unknown
Paul Euloge,,,unknown
Franck Cazenave,Q19607007,Franck Cazenave,male
Pierre Uteau Pierre Uteau,,,unknown
Jean-Pierre Mevellec,,,unknown
Jean Sourbet,Q3174665,Jean Sourbet,male
Lucien Figeac,,,unknown
Andre Luquot,,,unknown
Roger Palmieri,Q16232546,Roger Palmieri,male
Andre Bonnemaison,,,unknown
Jacques Maugein,Q3159523,Jacques Maugein,male
Francis Bernatet,,,unknown
Francis Levraud,,,unknown
Pierre Vailhe,Q126924895,Pierre Vailhé,male
Georges Clavel,Q19607398,Georges Clavel,male
President De La Republique Andre Colliere,,,unknown
Louis Leon,Q914054,Louis Leon Thurstone,male
Paul Allies,Q3370451,Paul Alliès,male
President De La Republique Pierre Leroy - Beaulieu,,,unknown
Paulette Biggio,,,unknown
Yves Brault,,,unknown
M. Denis,Q440369,Maurice Denis,male
Therese Caillaud,,,unknown
Louis Lorant,,,unknown
Marie Herve,Q67456707,Marie Hervé,female
Servan- Schreiber,,,unknown
I. Renouard,,,unknown
Gael Du Halgouet,,,unknown
Joseph Guilloux,,,unknown
Jean Audras,,,unknown
Louis Meheut,,,unknown
Rene De Montigny,,,unknown
Monsieur Cointat,,,unknown
Bruno Baron-Renault,,,unknown
Jacques Legros,Q3159360,Jacques Legros,male
Claude Peninque,,,unknown
Maxime Bonnet,Q16663883,Maxime Bonnet,male
Jean-Claude Aubin,Q65564002,Jean-Claude Aubineau,male
Jean Ferniot,Q3171996,Jean Ferniot,male
M. Mourot,Q21646354,Jean François Michel Mourot,male
Charles Poitte,,,unknown
Georges Dauger,,,unknown
Marcel Fortier,Q3288951,Marcel Fortier,male
Aime Paquet Guy Cabanel Guy Cabanel,,,unknown
Rene Bœuf,Q118490624,René Bœuf,male
Monsieur Cabanel,,,unknown
Raymond Espagnac,Q3420840,Raymond Espagnac,male
Pierre Volumard,Q3387323,Pierre Volumard,male
Jean Giard,Q3172294,Jean Giard,male
Ballottage Louis Maisonnat,,,unknown
Alban Fagot,Q2830761,Alban Fagot,male
Paul Rochas,Q122369101,Paul Rochas,male
Rene Bergeret,,,unknown
Anne-Marie Leroy,Q33111392,Anne-Marie Leroy,female
Charles Pechoux,,,unknown
Jean-Louis Crestin-Billet,,,unknown
Michel Vernus,Q16664336,Michel Vernus,male
Henri Lacoste,Q787480,Henry Lacoste,male
Jacques Bibette,,,unknown
Monsieur Defos Du Rau,,,unknown
Francia Bourlon,,,unknown
Roger Leclerc,Q7358517,Roger LeClerc,male
Francoise Belmont,,,unknown
Jean Auger,Q926000,Jean Duvignaud,male
Claude Breton,Q101114069,Claude Breton-Potvin,unknown
Maurice Theolet,,,unknown
Jean Plathey,,,unknown
Richard Ollagnier,,,unknown
Philippe Diamantidis,,,unknown
Marc Morenvillez,,,unknown
Arlette Bardon,,,unknown
Andre Garnier,Q25873663,André Garnier,male
Pierre Roy,Q1347013,Pierre Roy,male
Claude Fauriel,Q994181,Claude Fauriel,male
Daniele Thomas,Q65603548,Danièle Thomas,female
Lucien Neuwirth Suzanne Namy,,,unknown
Monique Casanova,Q135363249,Monique Casanova Breve,female
Joseph Colomb,Q640717,Joseph Colombo,male
Bernard Magniny,,,unknown
J. Vincent,Q134423840,J. Vincent,male
Jean Sanquer,,,unknown
Simon Rascle,,,unknown
Michel Robert,Q1930899,Michel Robert,male
Robert Calvet,Q115901738,Robert Calvet,male
Docteur Montagnon,,,unknown
Fernand Monta- Gnon,,,unknown
Rene Arnold,Q2144517,René Arnold Valero,male
President Poher,,,unknown
Jean Labat,Q115097619,Jean Labat,male
President De Gaulle,,,unknown
Paul Riviere,Q3372103,Paul Rivière,male
Jean Magnin,Q126960212,Jean Magnin,male
Jean Chaland,Q1685421,Jean Chaland,male
Jean Besset,Q110030076,Jean Besset,male
Roger Fourneyron,Q3438972,Roger Fourneyron,male
Le General,Q2042,Charles de Gaulle,male
Rene Chazelle,Q3426006,René Chazelle,male
Andre Routier-Preuvost,,,unknown
Maurice Jegou,,,unknown
Jean-Claude Bonduelle,Q114600120,Jean-Claude Bonduelle,male
Monsieur Beghin,,,unknown
Eugene Dugas,,,unknown
Jean-Claude Routier-Leroy,,,unknown
Jacques Floch Suppleant,,,unknown
Lucien Divard,,,unknown
Pierre Barron,Q75643747,Pierse Barron,male
Jean-Yves Robin,Q3170199,Jean-Yves Robin,male
Alain Peny,,,unknown
Michel Barre,Q124785717,Michel Barre,male
Pierre Manac'H,,,unknown
Dr J. Grosbois,,,unknown
Bernard Huet,Q2898075,Bernard Huet,male
Soutien Au President De La Republique Louis Salle,,,unknown
Lucienne Jamois,,,unknown
Pierre Mas,Q63079528,Pierre Mas,male
Imprimerie Delsaud,,,unknown
Christian Laurissergues Georges Rambeaud,,,unknown
Jean-Pierre Maitre,,,unknown
Gaston De Sansac,,,unknown
Etienne Dubourg,,,unknown
Guy Begue,Q19629615,Guy Bégué,male
Frederic Lindenstaedt,Q3089977,Frédéric Lindenstaedt,male
Jean Alicot,,,unknown
Claude Leriche,,,unknown
Marcel Chazalmartin,,,unknown
Michel Roche,Q128212595,Michel Roche,male
Victor Gouton,Q3557344,Victor Gouton,male
Jean-Luc Coifard,,,unknown
Andre Laumonier,,,unknown
Henri Bore,Q614663,Henri Borel,male
Jean- Jacques Servan-Schreiber,,,unknown
Jean-Paul Brachet,Q50376678,Jean-Paul Brachet,male
Maurice Pondevie,,,unknown
Jean-Paul Brachet Maurice Pondevie,,,unknown
Emilien Bourdin,,,unknown
Yves Kerrec,,,unknown
Roger Tarjon,,,unknown
Rene Le Bault De La Moriniere,Q3426479,René Le Bault de La Morinière,male
Camille Bourgeolais,,,unknown
Marcel Derouet,,,unknown
Yves Besnier,Q99460558,Yves Besnier,male
La Combe,,,unknown
Michel Allamand,,,unknown
Jean Gires,Q118918179,Jean-Michel Gires,male
Claude Dardel,,,unknown
Premier Ministre Messmer,,,unknown
Jean Patounas,,,unknown
Paul Savary,Q683122,Paul Savary,male
Claude Lacoste,,,unknown
Renee Laplace-Dolonde,,,unknown
. Baudouin,,,unknown
Monsieur Godefroy,,,unknown
Jean Lepaumier,,,unknown
Maurice Postaire,,,unknown
Rene Rouxel,,,unknown
Jean Victoire,Q727762,Jean-Victor Audouin,male
Danielle Roussez,,,unknown
Imp. D. Blond,,,unknown
Michel Carbonne,Q77579406,Michel Carbonneau,male
Jean Degraeve,Q3171617,Jean Degraeve,male
Andre Rondot,,,unknown
Roland Changey,,,unknown
Jacques Weil,Q132235075,Jacques Weil,male
Marcel Baron,Q3288640,Marcel Baron,male
Rene Nicolas,Q630787,René-Nicolas Dufriche-Desgenettes,male
Pierre Niederberger,Q3386441,Pierre Niederberger,male
Constant Poirrier,,,unknown
Marc Marillaud,,,unknown
Francine Henrich,Q16050584,Francine Henrich,female
Jules Jeanclaude,,,unknown
Marcel Gauzelin,,,unknown
Gerard Cureau,Q50765830,Gérard Cureau,male
Charles Clavel,Q109811726,Charles CLAVEL,male
Marcel Cordier,Q109812673,Marcel Cordier,male
Yvon Payeur,,,unknown
Roland Teyssandier,,,unknown
Claude Sourdive,,,unknown
Pierre Deiber Premier Adjoint,,,unknown
Jean Bichat,Q19606741,Jean Bichat,male
Louis Steffen,Q104805556,Louis Steffen Jacoby,male
Jean-Jacques Pic,Q65596164,Jean-Jacques Pic,male
Claire Leclerc,Q2975067,Claire Leclerc,female
R. Drapier,,,unknown
R. Ways,,,unknown
. Beauguitte,,,unknown
Antoine Pinay Henri Thebaud,,,unknown
Henri Thebaud Henri The Land,,,unknown
Paul Anselin,Q3370480,Paul Anselin,male
Yves Allainmat,Q3573441,Yves Allainmat,male
Roger De Vitton,Q3439631,Roger de Vitton,male
Eugene Remilly,Q16262922,Eugène Remilly,male
Lucien Le Puil,,,unknown
Georges Pom- Pidou,,,unknown
Jean-Marie Rausch,Q3167797,Jean-Marie Rausch,male
Arthur Buchmann,,,unknown
Pierre Kedinger,Q19629769,Pierre Kédinger,male
Gabriel Naumer,,,unknown
Roger Hesse,Q97536973,Roger Hesselstrand,unknown
Bastian Joseph,,,unknown
Docteur Coumaros,,,unknown
Gabriel Schlosser,,,unknown
